,var_id,var_name,data_year
0,f00001,blank,0
1,f00002,header_fips_st_&_cty_code,0
2,f00003,entity_of_file,0
3,f00004,secondary_entity_of_file,0
4,f00005,date_of_file,0
5,f00006,date_of_creation,0
6,f00007,file_length,0
7,f00008,state_name,0
9,f00010,county_name,0
10,f04437,county_name_w/state_abbrev,0
14,f04448,census_region_name,0
16,f04449,census_division_name,0
17,f00023,federal_region_code,0
18,f13156,ssa_beneficiary_code,0
20,f13892,core_based_stat_area_name(cbsa),20
22,f14195,cbsa_county_status,20
24,f14194,metropolitan_division_name,20
26,f13894,combined_statistical_area_name,20
45,f03554,bea_economic_area_name,4
46,f12146,bea_component_economc_area_name,4
71,f04101,contiguous_county_#_1,0
72,f04102,contiguous_county_#_2,0
73,f04103,contiguous_county_#_3,0
74,f04104,contiguous_county_#_4,0
75,f04105,contiguous_county_#_5,0
76,f04106,contiguous_county_#_6,0
77,f04107,contiguous_county_#_7,0
78,f04108,contiguous_county_#_8,0
79,f04109,contiguous_county_#_9,0
80,f04110,contiguous_county_#_10,0
81,f04111,contiguous_county_#_11,0
82,f04112,contiguous_county_#_12,0
83,f04113,contiguous_county_#_13,0
84,f04114,contiguous_county_#_14,0
