fips_state_code,state_name,fips_county_code,county_name
00,Northeast Region,000,United States
00,New England Division,000,Alabama
09,Connecticut,001,Autauga County
23,Maine,003,Baldwin County
25,Massachusetts,005,Barbour County
33,New Hampshire,007,Bibb County
44,Rhode Island,009,Blount County
50,Vermont,011,Bullock County
00,Middle Atlantic Division,013,Butler County
34,New Jersey,015,Calhoun County
36,New York,017,Chambers County
42,Pennsylvania,019,Cherokee County
00,Midwest Region,021,Chilton County
00,East North Central Division,023,Choctaw County
17,Illinois,025,Clarke County
18,Indiana,027,Clay County
26,Michigan,029,Cleburne County
39,Ohio,031,Coffee County
55,Wisconsin,033,Colbert County
00,West North Central Division,035,Conecuh County
19,Iowa,037,Coosa County
20,Kansas,039,Covington County
27,Minnesota,041,Crenshaw County
29,Missouri,043,Cullman County
31,Nebraska,045,Dale County
38,North Dakota,047,Dallas County
46,South Dakota,049,DeKalb County
00,South Region,051,Elmore County
00,South Atlantic Division,053,Escambia County
10,Delaware,055,Etowah County
11,District of Columbia,057,Fayette County
12,Florida,059,Franklin County
13,Georgia,061,Geneva County
24,Maryland,063,Greene County
37,North Carolina,065,Hale County
45,South Carolina,067,Henry County
51,Virginia,069,Houston County
54,West Virginia,071,Jackson County
00,East South Central Division,073,Jefferson County
01,Alabama,075,Lamar County
21,Kentucky,077,Lauderdale County
28,Mississippi,079,Lawrence County
47,Tennessee,081,Lee County
00,West South Central Division,083,Limestone County
05,Arkansas,085,Lowndes County
22,Louisiana,087,Macon County
40,Oklahoma,089,Madison County
48,Texas,091,Marengo County
00,West Region,093,Marion County
00,Mountain Division,095,Marshall County
04,Arizona,097,Mobile County
08,Colorado,099,Monroe County
16,Idaho,101,Montgomery County
30,Montana,103,Morgan County
32,Nevada,105,Perry County
35,New Mexico,107,Pickens County
49,Utah,109,Pike County
56,Wyoming,111,Randolph County
00,Pacific Division,113,Russell County
02,Alaska,115,St. Clair County
06,California,117,Shelby County
15,Hawaii,119,Sumter County
41,Oregon,121,Talladega County
53,Washington,123,Tallapoosa County
,,125,Tuscaloosa County
,,127,Walker County
,,129,Washington County
,,131,Wilcox County
,,133,Winston County
,,000,Abbeville city
,,000,Adamsville city
,,000,Addison town
,,000,Akron town
,,000,Alabaster city
,,000,Albertville city
,,000,Alexander City city
,,000,Aliceville city
,,000,Allgood town
,,000,Altoona town
,,000,Andalusia city
,,000,Anderson town
,,000,Anniston city
,,000,Arab city
,,000,Ardmore town
,,000,Argo town
,,000,Ariton town
,,000,Arley town
,,000,Ashford town
,,000,Ashland town
,,000,Ashville city
,,000,Athens city
,,000,Atmore city
,,000,Attalla city
,,000,Auburn city
,,000,Autaugaville town
,,000,Avon town
,,000,Babbie town
,,000,Baileyton town
,,000,Bakerhill town
,,000,Banks town
,,000,Bay Minette city
,,000,Bayou La Batre city
,,000,Bear Creek town
,,000,Beatrice town
,,000,Beaverton town
,,000,Belk town
,,000,Benton town
,,000,Berry town
,,000,Bessemer city
,,000,Billingsley town
,,000,Birmingham city
,,000,Black town
,,000,Blountsville town
,,000,Blue Springs town
,,000,Boaz city
,,000,Boligee town
,,000,Bon Air town
,,000,Brantley town
,,000,Brent city
,,000,Brewton city
,,000,Bridgeport city
,,000,Brighton city
,,000,Brilliant town
,,000,Brookside town
,,000,Brookwood town
,,000,Brundidge city
,,000,Butler town
,,000,Calera city
,,000,Camden city
,,000,Camp Hill town
,,000,Carbon Hill city
,,000,Cardiff town
,,000,Carolina town
,,000,Carrollton town
,,000,Castleberry town
,,000,Cedar Bluff town
,,000,Center Point city
,,000,Centre city
,,000,Centreville city
,,000,Chatom town
,,000,Chelsea city
,,000,Cherokee town
,,000,Chickasaw city
,,000,Childersburg city
,,000,Citronelle city
,,000,Clanton city
,,000,Clay city
,,000,Clayhatchee town
,,000,Clayton town
,,000,Cleveland town
,,000,Clio city
,,000,Coaling town
,,000,Coffee Springs town
,,000,Coffeeville town
,,000,Coker town
,,000,Collinsville town
,,000,Colony town
,,000,Columbia town
,,000,Columbiana city
,,000,Coosada town
,,000,Cordova city
,,000,Cottonwood town
,,000,County Line town
,,000,Courtland town
,,000,Cowarts town
,,000,Creola city
,,000,Crossville town
,,000,Cuba town
,,000,Cullman city
,,000,Cusseta town
,,000,Dadeville city
,,000,Daleville city
,,000,Daphne city
,,000,Dauphin Island town
,,000,Daviston town
,,000,Dayton town
,,000,Deatsville town
,,000,Decatur city
,,000,Demopolis city
,,000,Detroit town
,,000,Dodge City town
,,000,Dora city
,,000,Dothan city
,,000,Double Springs town
,,000,Douglas town
,,000,Dozier town
,,000,Dutton town
,,000,East Brewton city
,,000,Eclectic town
,,000,Edwardsville town
,,000,Elba city
,,000,Elberta town
,,000,Eldridge town
,,000,Elkmont town
,,000,Elmore town
,,000,Emelle town
,,000,Enterprise city
,,000,Epes town
,,000,Ethelsville town
,,000,Eufaula city
,,000,Eutaw town
,,000,Eva town
,,000,Evergreen city
,,000,Excel town
,,000,Fairfield city
,,000,Fairhope city
,,000,Fairview town
,,000,Falkville town
,,000,Faunsdale town
,,000,Fayette city
,,000,Five Points town
,,000,Flomaton town
,,000,Florala town
,,000,Florence city
,,000,Foley city
,,000,Forkland town
,,000,Fort Deposit town
,,000,Fort Payne city
,,000,Franklin town
,,000,Frisco City town
,,000,Fruithurst town
,,000,Fulton town
,,000,Fultondale city
,,000,Fyffe town
,,000,Gadsden city
,,000,Gainesville town
,,000,Gantt town
,,000,Garden City town
